date,mean_temperature,city
1961-01-01,26.43,belem
1961-02-01,25.53,belem
1961-03-01,25.88,belem
1961-04-01,26.07,belem
1961-05-01,26.31,belem
1961-06-01,26.64,belem
1961-07-01,26.77,belem
1961-08-01,26.72,belem
1961-09-01,26.62,belem
1961-10-01,26.46,belem
1961-11-01,26.5,belem
1961-12-01,26.51,belem
1962-01-01,26.3,belem
1962-02-01,26.06,belem
1962-03-01,26.15,belem
1962-04-01,26.04,belem
1962-05-01,26.83,belem
1962-06-01,26.74,belem
1962-07-01,26.71,belem
1962-08-01,26.94,belem
1962-09-01,26.87,belem
1962-10-01,26.8,belem
1962-11-01,26.68,belem
1962-12-01,26.91,belem
1963-01-01,26.25,belem
1963-02-01,26.03,belem
1963-03-01,26.02,belem
1963-04-01,26.42,belem
1963-05-01,27.17,belem
1963-06-01,26.94,belem
1963-07-01,26.93,belem
1963-08-01,26.98,belem
1963-09-01,26.96,belem
1963-10-01,26.85,belem
1963-11-01,27.06,belem
1963-12-01,26.24,belem
1964-01-01,25.7,belem
1964-02-01,25.52,belem
1964-03-01,25.41,belem
1964-04-01,25.75,belem
1964-05-01,26.55,belem
1964-06-01,26.91,belem
1964-07-01,27.16,belem
1964-08-01,27.34,belem
1964-09-01,27.32,belem
1964-10-01,,belem
1964-11-01,,belem
1964-12-01,,belem
1965-01-01,,belem
1965-02-01,,belem
1965-03-01,,belem
1965-04-01,,belem
1965-05-01,,belem
1965-06-01,,belem
1965-07-01,,belem
1965-08-01,,belem
1965-09-01,,belem
1965-10-01,,belem
1965-11-01,,belem
1965-12-01,,belem
1966-01-01,,belem
1966-02-01,,belem
1966-03-01,,belem
1966-04-01,,belem
1966-05-01,,belem
1966-06-01,,belem
1966-07-01,,belem
1966-08-01,,belem
1966-09-01,,belem
1966-10-01,,belem
1966-11-01,,belem
1966-12-01,,belem
1967-01-01,26.55,belem
1967-02-01,25.99,belem
1967-03-01,25.93,belem
1967-04-01,26.24,belem
1967-05-01,26.33,belem
1967-06-01,26.43,belem
1967-07-01,26.19,belem
1967-08-01,26.0,belem
1967-09-01,,belem
1967-10-01,26.01,belem
1967-11-01,26.42,belem
1967-12-01,26.08,belem
